Year,Month,Falciparum,Vivax,Under5 ,Population,Pdensity,MeanMAX,HighestMAX,MeanMIN,LowestMIN,Rainfall,RainyDays,MeanSunshine
2011-2012,January,149,1321,15,12436774,22880.2229744646,29.5111634410185,33.7133490323055,15.853160644639,10.7220913974538,0,0,9.1
2011-2012,February,39,1129,18,12436774,22880.2229744646,31.7800941938332,38.4356759143425,17.2109279564354,10.3597174185003,0,0,9.3
2011-2012,March,39,1338,25,12436774,22880.2229744646,31.824512473324,38.3446537640739,19.6953933328427,14.2308337626021,0,0,8.7
2012-2013,April,41,1274,12,12436774,22880.2229744646,33.4555817205092,37.1912576348517,24.6043711825741,22.2910221502686,0,0,9.2
2012-2013,May,1334,,14,12436774,22880.2229744646,33.1733019353889,34.1310692471852,26.5599529030834,24.5776731179631,0,0,9.9
2012-2013,June,62,1316,20,12436774,22880.2229744646,33.2133490323055,35.1021855912871,26.7866509676945,23.5021855912871,444.5,9,6
2012-2013,July,,,27,12436774,22880.2229744646,30.7,32.3577673117963,26.0288836558982,24.3733019353889,1002.6,21,1.2
2012-2013,August,,,,12436774,22880.2229744646,30.4555817205092,32.1733019353889,25.5577673117963,23.7021855912871,870.1,21,3.2
2012-2013,September,276,1237,37,12436774,22880.2229744646,30.8577673117963,33.1555817205092,24.9866509676945,23.3733019353889,935.4,20,5.6
2012-2013,October,229,1174,28,12436774,22880.2229744646,33.6844653764074,35.7555817205092,24.2199058061668,20.9242769887409,315,6,7.6
2012-2013,November,166,843,16,12436774,22880.2229744646,33.1844653764074,34.8444182794908,20.3686952682317,15.928648171315,0,0,9.3
2012-2013,December,121,694,12,12436774,22880.2229744646,32.4844653764074,36.0111634410185,19.453160644639,15.1152991390095,0,0,9
2012-2013,January,59,634,,12427914,22863.9230259769,30.2822797851203,34.3400470969166,16.1131135477224,12.0174847302966,0,0,9.5
2012-2013,February,32,615,18,12427914,22863.9230259769,30.9822797851203,35.2422326882037,18.7820443005372,14.701950106704,0,0,9.4
2012-2013,March,18,671,7,12427914,22863.9230259769,33.3667451615277,39.9512105379351,20.5419972036206,17.0730664508058,0,0,9.7
2013-2014,April,22,668,10,12427914,22863.9230259769,32.8689307528148,36.4046066671573,22.950975053352,20.2975789241298,0,0,10.2
